County,Date,Field_ID,Sex,Size_cm,Waterway,City,Probable_Cause
Miami-Dade,2024-01-01,MSE24001,M,179,C-8 Canal,Miami,Human Related: Other
Lake,2024-01-02,MEC24001,F,320,St. Johns River,Deland,Natural: Other
Lake,2024-01-02,MEC24002,U,52,St. Johns River,Deland,Perinatal (<= 150 cm)
Lake,2024-01-02,MEC24003,M,48,St. Johns River,Deland,Perinatal (<= 150 cm)
Citrus,2024-01-03,MNW24001,U,300,Withlacoochee River,Inglis,Verified; Not Necropsied
Lee,2024-01-03,MSW24001,F,259,Orange River,Ft. Myers,Undetermined: Too Decomposed
Indian River,2024-01-05,MEC24004,M,235,Sebastian River,Sebastian,Natural: Other
Clay,2024-01-05,MNE24001,F,253,St. Johns River,Fleming Island,Natural: Cold Stress
Hernando,2024-01-05,MNW24002,F,332,Mud River,Weeki Wachee,Natural: Other
Citrus,2024-01-06,MNW24003,F,215,Kings Bay,Crystal River,Verified; Not Necropsied
Citrus,2024-01-06,SWFTm2358,F,361,Homosassa River,Homosassa,Undetermined: Other
Citrus,2024-01-07,MNW24004,F,194,Kings Bay,Crystal River,Natural: Other
Brevard,2024-01-08,MEC24005,F,292,Indian River,Cocoa,Undetermined: Other
Citrus,2024-01-08,MNW24005,F,151,Homosassa River,Homosassa,Natural: Other
Broward,2024-01-08,MSE24002,F,359,Stranahan River,Ft. Lauderdale,Human Related: Watercraft Collision
Citrus,2024-01-08,SWFTm2402,F,292,Kings Bay,Crystal River,Natural: Other
Sarasota,2024-01-10,LPZ103675,F,254,Roberts Bay,Venice,Human Related: Watercraft Collision
Miami-Dade,2024-01-10,MSE24003,U,300,Terrapin Bay,Flamingo,Verified; Not Necropsied
Bay,2024-01-11,MNW24006,M,260,East Bay,Panama City,Verified; Not Necropsied
Miami-Dade,2024-01-11,MSE24004,F,267,Biscayne Bay,Miami Beach,Human Related: Watercraft Collision
Lee,2024-01-11,MSW24002,F,143,San Carlos Bay,Ft. Myers,Perinatal (<= 150 cm)
Lee,2024-01-12,MSW24003,M,287,Orange River,Ft. Myers,Undetermined: Too Decomposed
